%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
42.0, -6999.091148268122, 13268.308433092647, -5755.6636042193895, -11213.624324038545, -187500.02235174447, 17574.550816363193, -187500.02235174447, -13507.516802253343, 0.18, 0.96, -0.16, 192.0, 5.0, 160.0, 30.0, 0.0, 251.0, 0.0, 0.0, 0.0, 0.0, 1.74129112305258E9, 0.0, 2025-03-06 13:58:43.052
43.0, -6992.452680164895, 13282.814715244142, -5757.563502498091, -11208.371664091548, -187500.02235174447, 17573.612043096073, -187500.02235174447, -13508.321465053734, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052626E9, 0.0, 2025-03-06 13:58:43.052
44.0, -6981.321511426153, 13296.561038084155, -5750.925034394865, -11186.39989929198, -187500.02235174447, 17588.274787458755, -187500.02235174447, -13484.516857208831, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052677E9, 0.0, 2025-03-06 13:58:43.052
45.0, -6986.507116139784, 13272.085877905594, -5755.887121663943, -11220.106329930584, -187500.02235174447, 17583.290348445218, -187500.02235174447, -13492.161153812547, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052708E9, 0.0, 2025-03-06 13:58:43.052
46.0, -6990.843354564114, 13268.286081348191, -5755.909473408398, -11245.676725587455, -187500.02235174447, 17580.630490855037, -187500.02235174447, -13499.067842849237, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74129112305274E9, 0.0, 2025-03-06 13:58:43.052
47.0, -6995.403110432996, 13275.192770384881, -5762.324424067071, -11223.012056709775, -187500.02235174447, 17576.80834255318, -187500.02235174447, -13503.426433018021, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052771E9, 0.0, 2025-03-06 13:58:43.052
48.0, -6992.09505225361, 13274.119886651026, -5759.4186972878815, -11204.415405322958, -187500.02235174447, 17580.026993754745, -187500.02235174447, -13498.419642260033, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052802E9, 0.0, 2025-03-06 13:58:43.052
49.0, -6992.452680164895, 13256.57376725361, -5760.42452578837, -11242.972164508363, -187500.02235174447, 17582.19511296691, -187500.02235174447, -13508.85790692066, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052849E9, 0.0, 2025-03-06 13:58:43.052
50.0, -7004.209697748387, 13251.119941606516, -5768.739374725745, -11264.206321740905, -187500.02235174447, 17574.372002407552, -187500.02235174447, -13512.34477905569, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74129112305288E9, 0.0, 2025-03-06 13:58:43.052
51.0, -6999.716997112871, 13261.491151033779, -5761.698575222323, -11262.686403117945, -187500.02235174447, 17585.883150802034, -187500.02235174447, -13490.730642167407, 0.18, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052911E9, 0.0, 2025-03-06 13:58:43.052
52.0, -7006.534279171739, 13272.085877905594, -5762.2350170892505, -11234.903184759998, -187500.02235174447, 17585.81609556867, -187500.02235174447, -13489.411889244544, 0.17400000000000002, 0.96, -0.16, 192.0, 5.0, 112.0, 30.0, 0.0, 251.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052941E9, 0.0, 2025-03-06 13:58:43.052
53.0, -6990.642188864016, 13259.747714966265, -5756.781191442155, -11264.854522330108, -187500.02235174447, 17591.269921215764, -187500.02235174447, -13494.172810813525, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123052975E9, 0.0, 2025-03-06 13:58:43.052
54.0, -6991.871534809057, 13254.71857246382, -5760.491581021736, -11275.762173624298, -187500.02235174447, 17586.06196475768, -187500.02235174447, -13496.139764325591, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053012E9, 0.0, 2025-03-06 13:58:43.053
55.0, -6982.707319582381, 13265.715630735831, -5756.222397830773, -11271.671804388978, -187500.02235174447, 17586.263130457777, -187500.02235174447, -13498.464345748944, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053049E9, 0.0, 2025-03-06 13:58:43.053
56.0, -6987.62470336255, 13284.11111642255, -5755.820066430577, -11238.814740039676, -187500.02235174447, 17585.43611591293, -187500.02235174447, -13492.921113124028, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74129112305308E9, 0.0, 2025-03-06 13:58:43.053
57.0, -6996.632456378038, 13252.550453251655, -5773.746165483733, -11246.03435349874, -187500.02235174447, 17573.85791228508, -187500.02235174447, -13511.741281955396, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053118E9, 0.0, 2025-03-06 13:58:43.053
58.0, -6990.530430141739, 13249.041229372173, -5769.186409614851, -11271.962377066897, -187500.02235174447, 17576.98715650882, -187500.02235174447, -13517.86565993615, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053156E9, 0.0, 2025-03-06 13:58:43.053
59.0, -6983.735499827326, 13269.135447637493, -5757.51879900918, -11271.694156133433, -187500.02235174447, 17579.647014099006, -187500.02235174447, -13527.76748272985, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053191E9, 0.0, 2025-03-06 13:58:43.053
60.0, -6987.132964984533, 13283.529971066711, -5756.065935619586, -11245.095580231617, -187500.02235174447, 17585.23495021283, -187500.02235174447, -13504.678130707518, 0.17400000000000002, 0.96, -0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123053222E9, 0.0, 2025-03-06 13:58:43.053
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.196, 0.934, -0.226, 192.0, 6.0, 32.0, 29.0, 48.0, 248.0, 240.0, 0.0, 0.0, 0.0, 1.741291123154003E9, 0.0, 2025-03-06 13:58:43.154
1.0, -7080.0715184297, 13281.920645465929, -5900.771129223243, -11183.158896345962, -187500.02235174447, 16801.5157343764, -187500.02235174447, -13828.912535776202, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123170048E9, 0.0, 2025-03-06 13:58:43.170
2.0, -7089.503954589839, 13296.561038084155, -5900.234687356316, -11155.040401821185, -187500.02235174447, 16801.426327398578, -187500.02235174447, -13829.448977643131, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228268E9, 0.0, 2025-03-06 13:58:43.228
3.0, -7102.400911140551, 13275.617453529532, -5909.041274671707, -11172.83239040761, -187500.02235174447, 16793.871437772686, -187500.02235174447, -13842.927079549681, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228342E9, 0.0, 2025-03-06 13:58:43.228
4.0, -7093.6390273140705, 13275.572750040621, -5894.758509964766, -11177.906236398965, -187500.02235174447, 16807.28248444587, -187500.02235174447, -13827.414968897698, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228381E9, 0.0, 2025-03-06 13:58:43.228
5.0, -7091.73912903537, 13275.952729696362, -5892.679797730422, -11174.329957286116, -187500.02235174447, 16807.260132701413, -187500.02235174447, -13823.011675240003, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228412E9, 0.0, 2025-03-06 13:58:43.228
6.0, -7115.431978157995, 13283.507619322256, -5900.771129223243, -11156.783837888699, -187500.02235174447, 16797.201847696524, -187500.02235174447, -13831.88531778876, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228442E9, 0.0, 2025-03-06 13:58:43.228
7.0, -7116.191937469475, 13273.561093039643, -5909.197736882894, -11154.146332042972, -187500.02235174447, 16795.74898430693, -187500.02235174447, -13839.842538814848, 0.196, 0.934, -0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228472E9, 0.0, 2025-03-06 13:58:43.228
8.0, -7093.616675569615, 13273.00229942826, -5908.840108971609, -11184.276483568727, -187500.02235174447, 16800.91223727611, -187500.02235174447, -13837.853233558326, 0.20800000000000002, 0.93, -0.256, 192.0, 6.0, 128.0, 29.0, 16.0, 248.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228502E9, 0.0, 2025-03-06 13:58:43.228
9.0, -7108.301771676752, 13277.115020408037, -5912.0364084287185, -11193.463050539858, -187500.02235174447, 16797.42536514108, -187500.02235174447, -13842.189471982656, 0.20800000000000002, 0.93, -0.256, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741291123228547E9, 0.0, 2025-03-06 13:58:43.228
